host_protein	abbreviated_data_source	is_experimental	data_source	acquisition_method	prioritized_for_pathway_analysis	do_ppi_expansion	source_specific_score	source_specific_score_type	activation	activation_type	metadata	uniprot	tdl
CACNA2D4	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.289	na||STRING DB score	na||na	na||na	na||source:ppi	Q7Z3S7	Tbio
CANX	ppi_string	True	STRING	STRING API	False	False	0.407	STRING DB score	na	na	source:ppi	P27824	Tbio
CAT	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.309	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P04040	Tbio
CBR1	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.2	na||STRING DB score	na||na	na||na	na||source:ppi	P16152	Tchem
CCDC86	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.204	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9H6F5	Tbio
CCNB1	ppi_string	True	STRING	STRING API	False	False	0.267	STRING DB score	na	na	source:ppi	P14635	Tchem
CCND1	ppi_sg||ppi_string	True||True	SmartGraph||STRING	SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False	False||False	0.93||0.94	confidence||STRING DB score	na||na	na||na	source:ppi||source:ppi	P24385	Tchem
CCNH	hostprot_crispr||ppi_sg||ppi_string	True||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph||STRING	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.59||0.156	na||confidence||STRING DB score	na||na||na	na||na||na	notes:TFIIH holo complex;role:sensitization_anti-viral||source:ppi||source:ppi	P51946	Tbio
CCSMST1	ppi_string	True	STRING	STRING API	False	False	0.271	STRING DB score	na	na	source:ppi	Q4G0I0	Tdark
CD300E	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.371	na||STRING DB score	na||na	na||na	na||source:ppi	Q496F6	Tbio
CD300LB	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.154	na||STRING DB score	na||na	na||na	na||source:ppi	A8K4G0	Tbio
CD300LF	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.16699999999999998	na||STRING DB score	na||na	na||na	na||source:ppi	Q8TDQ1	Tbio
CD300LG	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.157	na||STRING DB score	na||na	na||na	na||source:ppi	Q6UXG3	Tbio
CD4	hpi_phipster||ppi_string	False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||STRING API	False||False	True||False	na||0.18600000000000005	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P01730	Tchem
CD8A	hpi_phipster||hostprot_taiml||ppi_string	False||False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.185	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	P01732	Tbio
CDA	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.281	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P32320	Tchem
CDC25A	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.12	confidence	na	na	source:ppi	P30304	Tchem
CDC42	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.3	confidence	na	na	source:ppi	P60953	Tchem
CDH1	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.524	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P12830	Tbio
CDH17	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.155	na||STRING DB score	down||na	quantity change||na	na||source:ppi	Q12864	Tbio
CDK1	ppi_sg||ppi_string	True||True	SmartGraph||STRING	SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False	False||False	0.28||0.198	confidence||STRING DB score	na||na	na||na	source:ppi||source:ppi	P06493	Tchem
CDK2	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.15	confidence	na	na	source:ppi	P24941	Tchem
CDK4	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.11	confidence	na	na	source:ppi	P11802	Tclin
CDK5RAP2	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	Q96SN8	Tbio
CDK7	hostprot_crispr||ppi_sg||ppi_string	True||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph||STRING	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.67||0.197	na||confidence||STRING DB score	na||na||na	na||na||na	notes:TFIIH holo complex;role:sensitization_anti-viral||source:ppi||source:ppi	P50613	Tchem
CDK8	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.59	confidence	na	na	source:ppi	P49336	Tchem
CDKN1A	hostprot_crispr||ppi_sg||ppi_string	True||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph||STRING	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.39||0.222	na||confidence||STRING DB score	na||na||na	na||na||na	notes:RUNX3 regulates CDKN1A transcription;role:resistance_pro_viral||source:ppi||source:ppi	P38936	Tbio
CDKN1B	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.32	confidence	na	na	source:ppi	P46527	Tbio
CEACAM8	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.179	na||STRING DB score	na||na	na||na	na||source:ppi	P31997	Tbio
CEBPZ	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.863	na||STRING DB score	up||na	quantity change||na	na||source:ppi	Q03701	Tbio
CENPF	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.175	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P49454	Tbio
CEP112	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.224	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8N8E3	Tdark
CEP135	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.153	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q66GS9	Tbio
CEP250	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.21	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BV73	Tbio
CEP350	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.227	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q5VT06	Tbio
CEP43	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	O95684	Tbio
CEP68	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.292	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q76N32	Tbio
CHMP2A	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.212	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O43633	Tbio
CHMP2B	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.358	na||STRING DB score	down||na	quantity change||na	na||source:ppi	Q9UQN3	Tbio
CHPF	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.163	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8IZ52	Tbio
CHPF2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.32	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9P2E5	Tbio
CHRM2	dti_jm_hcq||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.903	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P08172	Tclin
CHUK	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.26	confidence	na	na	source:ppi	O15111	Tchem
CIRBP	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.212	na||STRING DB score	down||na	quantity change||na	na||source:ppi	Q14011	Tbio
CISD3	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.158	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P0C7P0	Tbio
CIT	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.196	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O14578	Tchem
CLCC1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.565	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96S66	Tbio
CLIP4	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.317	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8N3C7	Tdark
CLTRN	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.256	na||STRING DB score	na||na	na||na	na||source:ppi	Q9HBJ8	Tbio
CMBL	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.608	na||STRING DB score	up||na	quantity change||na	na||source:ppi	Q96DG6	Tbio
CNGA2	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.157	na||STRING DB score	na||na	na||na	na||source:ppi	Q16280	Tchem
CNGA4	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.155	na||STRING DB score	na||na	na||na	na||source:ppi	Q8IV77	Tbio
CNTRL	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	Q7Z7A1	Tbio
COL6A1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.16899999999999998	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P12109	Tbio
COLGALT1	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.193	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q8NBJ5	Tbio
COMT	hpi_krogan||hostprot_nat||ppi_sg||ppi_string	True||True||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||SmartGraph||STRING	Preprint/Nature, experimental data||Shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False||False	True||True||False||False	na||na||0.09||0.263	na||na||confidence||STRING DB score	na||down||na||na	na||quantity change||na||na	source:hpi||na||source:ppi||source:ppi	P21964	Tclin
COPS5	ppi_string	True	STRING	STRING API	False	False	0.747	STRING DB score	na	na	source:ppi	Q92905	Tbio
COQ8B	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.194	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96D53	Tchem
COX4I1	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.171	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P13073	Tbio
CPSF6	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.194	na||STRING DB score	na||na	na||na	na||source:ppi	Q16630	Tbio
CREB1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.22	confidence	na	na	source:ppi	P16220	Tbio
CREBBP	hostprot_crispr||hostprot_hats||ppi_sg||ppi_string	True||False||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||Tudor I. Oprea, MD, PhD (TIO), Tim Willson (TW), PhD||SmartGraph||STRING	Extracted by TIO||TIO, TW||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||True||False||False	True||False||False||False	na||na||0.8||0.901	na||na||confidence||STRING DB score	na||na||na||na	na||na||na||na	notes:;role:resistance_pro_viral||na||source:ppi||source:ppi	Q92793	Tchem
CRTC3	hpi_krogan||ppi_sg||ppi_string	True||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||SmartGraph||STRING	Preprint/Nature, experimental data||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.42||0.238	na||confidence||STRING DB score	na||na||na	na||na||na	source:hpi||source:ppi||source:ppi	Q6UUV7	Tbio
CSDE1	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	O75534	Tbio
CSK	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.05	confidence	na	na	source:ppi	P41240	Tchem
CSNK2A2	hpi_krogan||hostprot_taiml||ppi_sg||ppi_string	True||False||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||SmartGraph||STRING	Preprint/Nature, experimental data||Shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False||False	True||True||False||False	na||na||0.31||0.172	na||na||confidence||STRING DB score	na||na||na||na	na||na||na||na	source:hpi||na||source:ppi||source:ppi	P19784	Tchem
CSNK2B	hpi_krogan||hostprot_taiml||ppi_sg||ppi_string	True||False||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||SmartGraph||STRING	Preprint/Nature, experimental data||Shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False||False	True||True||False||False	na||na||0.12||0.26	na||na||confidence||STRING DB score	na||na||na||na	na||na||na||na	source:hpi||na||source:ppi||source:ppi	P67870	Tbio
CST6	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.235	na||STRING DB score	na||na	na||na	notes:cystatin and endolysosome lumen;role:resistance_pro_viral||source:ppi	Q15828	Tbio
CSTA	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.152	na||STRING DB score	na||na	na||na	notes:cystatin and endolysosome lumen;role:resistance_pro_viral||source:ppi	P01040	Tbio
CSTB	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.204	na||STRING DB score	na||na	na||na	notes:cystatin and endolysosome lumen;role:resistance_pro_viral||source:ppi	P04080	Tbio
CSTV	hostprot_crispr	True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101	Extracted by TIO	False	True	na	na	na	na	notes:cystatin and endolysosome lumen;role:resistance_pro_viral	na	unk
CTNNB1	ppi_sg||ppi_string	True||True	SmartGraph||STRING	SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False	False||False	0.23||0.207	confidence||STRING DB score	na||na	na||na	source:ppi||source:ppi	P35222	Tchem
